EcuadorTV,295,0
jchatterleyCNN,295,0
RedPepperUG,294,0
PuneTimesOnline,292,0
CongressmanRaja,290,0
mathrubhumi,290,1
newsktv,287,0
punjabkesari,287,1
IndianOilcl,285,0
ThePuneMirror,285,0
SEMARNAT_mx,284,0
_infoLibre,284,0
nyphospital,284,0
NCEMAUAE,280,0
GVAsanitat,279,0
AQuatennens,278,0
NewsweekEspanol,278,0
NewTimesRwanda,276,0
azucenau,276,0
StefSimanowitz,275,0
DDNewsGujarati,273,0
etribune,273,0
perfilcom,271,0
radiobandnewsfm,271,0
Ramesh_Mendola,269,0
el_BID,269,0
WRADIOMexico,267,0
mshafiquk,266,0
Laurie_Garrett,265,0
NepaliTimes,265,0
_SemaHernandez_,265,0
prageru,265,0
IndianFootball,263,0
AlGhadTV,260,1
CityOfNOLA,260,0
sanjaynirupam,260,0
jnascim,259,0
rameshlaus,259,1
Gamavisionecu,258,0
RealDLHughley,258,0
AyushmanNHA,257,0
RudawKurdi,256,0
rampurpolice,256,0
DavidCornDC,255,0
GobiernoJalisco,255,0
allafrica,255,1
timothysykes,255,0
AIRNewsHindi,254,0
saudepoa,254,0
FelixPortes,253,0
AlMayadeenNews,253,0
dailystar,253,1
govern,250,1
elnuevoherald,249,1
rahat_up,249,0
McKinsey,248,0
jlsteeg,248,0
Ministerio_TIC,247,0
manoramaonline,246,1
elnoticierotc,245,0
ricpuglisi,245,0
thaimoph,245,0
NewsX,244,0
gobdecordoba,244,1
hafizgandhi,244,0
RadioElshinta,243,0
em_com,242,1
sopitas,242,1
dasraghubar,241,0
IndiaSpend,240,0
Tasnimnews_Fa,240,0
you_trend,240,0
BrentToderian,239,0
MInfraestrutura,238,0
UNEP,238,0
Cicmty,237,0
newschambers,237,0
thetribunechd,236,1
costa_rui,235,0
PressTV,234,1
prensacom,234,0
Daily_Express,233,1
bbcworldservice,233,0
EpiEllie,232,0
newsonepk,232,1
pinkvilla,231,0
JFKii,230,0
sfchronicle,230,0
HTPunjab,228,0
News18Kannada,228,0
n_k_chandra,228,0
RTenfrancais,227,1
mileniotv,227,0
rtl1025,224,1
Agenzia_Italia,222,0
pibchennai,222,0
livemint,221,0
Ch7HD,220,0
Consalud_es,220,0
CityNews,219,0
rcavada,219,0
RadioCanadaInfo,217,0
elpaisuy,216,0
mincombolivia,215,0
Jerusalem_Post,214,1
DavidColtart,211,0
AlroyaNewspaper,211,0
ahmedabadmirror,211,0
rnpy920am,210,0
scb_thailand,209,0
DeccanHerald,208,1
La7tv,208,0
JustAwHirsi,207,0
SAfmRadio,207,0
boomlive_in,207,1
eNCA,207,0
AdamMilstein,204,0
Mahmudabad,204,0
KPEastsubnDiv,202,0
RadioMirchi,202,0
SputnikMundo,202,1
gercekgundem,202,1
24Entertain,201,1
OurRevolution,201,0
KPSouthDiv,200,0
SCT_mx,200,0
basherkella,200,0
mayawiley,200,0
msianinsight,200,0
forbes_india,199,1
michaeljohns,199,0
muhammadiyah,199,0
GoogleTrends,198,0
CarlosLoret,198,0
BBCScotlandNews,198,1
cnbcafrica,198,0
EstrellaOnline,197,0
ProSyn,197,0
mygoodtimes,197,0
newslaundry,197,0
RegLombardia,196,0
newscomauHQ,196,0
MIB_Hindi,195,0
mossos,195,0
Dailymirror_SL,194,0
EMADmde,194,0
